site,variable,statCd
17552,00060,00003
17558,00060,00003
17561,00060,00003
17562,00060,00003
17767,00060,00003
17776,00060,00003
17792,00060,00003
18414,00060,00003
18418,00060,00003
18419,00060,00003
18420,00060,00003
18422,00060,00003
295620,00060,00003
18453,00060,00003
18454,00060,00003
18455,00060,00003
295628,00060,00003
18465,00060,00003
18507,00060,00003
18512,00060,00003
18515,00060,00003
18516,00060,00003
18522,00060,00003
18527,00060,00003
325775,00060,00003
295651,00060,00003
18574,00060,00003
18577,00060,00003
18581,00060,00003
325777,00060,00003
18584,00060,00003
18587,00060,00003
18588,00060,00003
18589,00060,00003
18595,00060,00003
18599,00060,00003
18601,00060,00003
18604,00060,00003
18609,00060,00003
18611,00060,00003
