site,variable,statCd
148706,00060,00003
148707,00065,00003
148719,00060,00003
148720,00065,00003
323451,00060,00003
323453,00065,00003
148737,00060,00003
148747,00054,30800
148778,00060,00003
148783,00060,00003
148901,00060,00003
148904,00060,00003
148905,00065,00003
148913,00060,00003
148914,00065,00003
148970,00060,00003
148972,00060,00003
148977,00060,00003
148978,00065,00003
148979,00060,00003
268324,00065,30800
148984,00060,00003
148985,00065,00003
148986,00060,00003
148987,00065,00003
148988,00060,00003
148989,00065,00003
148995,00060,00003
148996,00065,00003
148997,00060,00003
148998,00065,00003
148999,00060,00003
149000,00065,00003
149009,00060,00003
149034,00060,00003
149035,00065,00003
149038,00060,00003
149039,00065,00003
149113,00060,00003
149114,00065,00003
149117,00060,00003
149118,00065,00003
296240,00060,00003
296242,00060,00003
296243,00065,00003
149129,00060,00003
149130,00065,00003
222470,00065,30800
149133,00060,00003
149135,00060,00003
149136,00065,00003
296244,00060,00003
149141,00060,00003
149142,00065,00003
149940,00060,00003
