site,variable,statCd
102714,00060,00003
102716,00060,00003
102750,00060,00003
102760,00060,00003
102765,00060,00003
102766,00060,00003
103015,00060,00003
45870,00060,00003
103030,00060,00003
103031,00060,00003
45889,00060,00003
45914,00054,32400
45921,00060,00003
103035,00060,00003
103038,00060,00003
113191,00060,00003
113194,00060,00003
45962,00060,00003
45980,00060,00003
296376,00060,00003
46021,00054,32400
46041,00060,00003
46045,00060,00003
46110,00060,00003
296387,00060,00003
46196,00060,00003
46201,00060,00003
46202,00060,00003
46632,72019,31200
