site,variable,statCd
17441,00060,00003
17477,00060,00003
17478,00060,00003
17481,00060,00003
17489,00060,00003
17492,00060,00003
17494,00060,00003
17504,00060,00003
17520,00060,00003
17767,00060,00003
17776,00060,00003
17792,00060,00003
17852,00060,00003
17859,00060,00003
17884,00060,00003
17898,00060,00003
325497,00060,00003
17911,00060,00003
17921,00060,00003
17922,00060,00003
17931,00060,00003
325504,00060,00003
17944,00060,00003
17947,00060,00003
325508,00060,00003
17955,00060,00003
17957,00060,00003
17959,00060,00003
17962,00060,00003
17982,00060,00003
18000,00060,00003
18007,00060,00003
18010,00060,00003
240468,00060,00003
18032,00060,00003
18047,00060,00003
18507,00060,00003
18512,00060,00003
18515,00060,00003
18516,00060,00003
18522,00060,00003
18527,00060,00003
325775,00060,00003
18574,00060,00003
18577,00060,00003
18581,00060,00003
325777,00060,00003
18584,00060,00003
18587,00060,00003
18588,00060,00003
18589,00060,00003
18595,00060,00003
18599,00060,00003
18601,00060,00003
18604,00060,00003
18609,00060,00003
18611,00060,00003
18612,00060,00003
18642,00060,00003
18646,00060,00003
18705,00060,00003
18836,00060,00003
18839,00060,00003
18840,00060,00003
18846,00060,00003
18852,00060,00003
18860,00060,00003
325803,00060,00003
20016,00060,00003
20017,00060,00003
297334,00060,00003
20062,00060,00003
20085,00060,00003
20086,00060,00003
20087,00060,00003
20214,00060,00003
