site,variable,statCd
102558,00060,00003
102569,00060,00003
325966,00060,00003
102586,00060,00003
102590,00060,00003
102594,00060,00003
102595,00060,00003
102598,00060,00003
102599,00060,00003
102602,00060,00003
102603,00060,00003
102819,00060,00003
102827,00060,00003
7505,00060,00003
7528,00060,00003
7549,00060,00003
7571,00060,00003
7577,00060,00003
102840,00054,32400
102842,00060,00003
102843,00060,00003
102875,00060,00003
295924,00065,32400
7588,00060,00003
7600,00060,00003
7605,00054,32400
7606,00060,00003
7607,00060,00003
7629,00060,00003
7639,00054,32400
7640,00060,00003
7647,00060,00003
7658,00060,00003
7666,00060,00003
7668,00060,00003
7685,00060,00003
102889,00060,00003
102897,00060,00003
102901,00060,00003
102907,00060,00003
102915,00060,00003
102920,00060,00003
102930,00060,00003
102941,00060,00003
102943,00060,00003
102946,00060,00003
236251,00060,00003
102960,00060,00003
9735,00054,32400
216935,00060,00003
213417,00054,32400
213452,00060,00003
213492,00060,00003
296101,00060,00003
213496,00060,00003
296102,00060,00003
213500,00060,00003
213502,00060,00003
326035,00060,00003
213507,00060,00003
214064,00060,00003
214065,00060,00003
214066,00060,00003
296112,00060,00003
10010,00060,00003
296139,00060,00003
217860,00060,00003
217901,00060,00003
217960,00060,00003
216822,00060,00003
216823,00060,00003
216825,00060,00003
217674,00060,00003
217677,00060,00003
10625,00060,00003
217679,00060,00003
213681,00054,32400
213659,00060,00003
213957,00060,00003
213963,00060,00003
213969,00060,00003
216827,00060,00003
216829,00060,00003
213983,00060,00003
216832,00060,00003
217518,00060,00003
10750,00060,00003
10767,00060,00003
213996,00060,00003
296159,00060,00003
216836,00060,00003
214007,00060,00003
216838,00060,00003
10791,00060,00003
217498,00060,00003
214013,00060,00003
10840,00060,00003
217493,00060,00003
217492,00060,00003
214085,00060,00003
217504,00060,00003
216815,00060,00003
326059,00060,00003
217482,00060,00003
225039,00060,00003
217474,00060,00003
216810,00060,00003
216811,00060,00003
216807,00060,00003
216806,00060,00003
326061,00060,00003
232577,00060,00003
217029,00060,00003
217030,00060,00003
237567,00060,00003
216804,00060,00003
217415,00060,00003
10977,00060,00003
10993,00060,00003
