site,variable,statCd
80770,00060,00003
80789,00060,00003
80799,00060,00003
81389,00060,00003
160978,00060,00003
161689,00060,00003
161705,00060,00003
161728,00060,00003
161742,00060,00003
143395,00060,00003
143401,00060,00003
143416,00060,00003
319751,00060,00003
319767,00060,00003
319636,00060,00003
319777,00060,00003
161871,00060,00003
161885,00060,00003
161888,00060,00003
326166,00060,00003
161897,00060,00003
319801,00060,00003
319807,00060,00003
326169,00060,00003
320702,00060,00003
326171,00060,00003
45224,00060,00003
45226,00060,00003
326173,00060,00003
326176,00054,32400
45235,00060,00003
326178,00060,00003
326181,00060,00003
45257,00060,00003
45259,00060,00003
45261,00060,00003
45266,00060,00003
45268,00060,00003
45273,00060,00003
45288,00060,00003
45301,00060,00003
45311,00060,00003
45318,00060,00003
45332,00060,00003
45335,00060,00003
296325,00060,00003
45338,00060,00003
45340,00060,00003
